"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Alltime.high","Year.high","Country","Naf.games.played","Win.procent","order","division"
"46","rodvil","Super League S6 EU Div 1D","Underworld Denizens",24496,156.9,176.88,NA,"rodvil",185.98,205.86,198.06,"Portugal","151 (56/43/52)",51.32,204,"01 – EU Div 1"
"47","Sharkrudi","Super League S6 EU Div 1D","Lizardmen",16542,136.41,165.36,NA,"sharkrudi",166.24,166.24,0,"France","42 (13/13/16)",46.43,204,"01 – EU Div 1"
"48","Al_Daz","Super League S6 EU Div 1D","Elven Union",32763,NA,190.09,NA,"Al_Daz",199.57,223.92,199.57,"France","113 (44/30/39)",52.21,204,"01 – EU Div 1"
"49","seanh1986","Super League S6 EU Div 2A","Amazon",23461,211.29,215.79,NA,"seanh1986",237.13,276.77,239.8,"Canada","345 (192/83/70)",67.68,301,"02 – EU Div 2"
"50","cyg-Obsidian","Super League S6 EU Div 2A","Vampire",21201,184.63,230.37,NA,"obsidian",222.72,279,257.84,"France","442 (220/113/109)",62.56,301,"02 – EU Div 2"
"51","Bingoman","Super League S6 EU Div 2A","Necromantic Horror",29666,176.76,176.76,NA,"Bingoman",186.17,200.33,199.41,"Germany","90 (35/16/39)",47.78,301,"02 – EU Div 2"
"52","ClayInfinity","Super League S6 EU Div 2A","Old World Alliance",8442,146.25,197.94,NA,"ClayInfinity",195.89,241.2,203.7,"Australia","207 (101/48/58)",60.39,301,"02 – EU Div 2"
"53","cdassak","Super League S6 EU Div 2A","Old World Alliance",26050,NA,205.78,NA,"cdassak",237.85,245.64,238.05,"Greece","94 (57/26/11)",74.47,301,"02 – EU Div 2"
"54","Rubick","Super League S6 EU Div 2A","Chaos Renegade",17243,NA,210.41,NA,"Rubick",220.02,245.71,245.71,"Wales","531 (256/128/147)",60.26,301,"02 – EU Div 2"
"55","Hal976","Super League S6 EU Div 2A","High Elf",33257,NA,147.61,NA,"hal976",130.41,146.6,0,"Italy","12 (0/5/7)",20.83,301,"02 – EU Div 2"
"56","uncertain","Super League S6 EU Div 2A","Elven Union",13715,NA,204.21,NA,"Narok",223.52,239.67,236.75,"Germany","280 (130/69/81)",58.75,301,"02 – EU Div 2"
"57","speedingbullet","Super League S6 EU Div 2B","Wood Elf",16845,206.38,206.38,NA,"speedingbullet",216.59,246.46,228.18,"England","264 (135/62/67)",62.88,302,"02 – EU Div 2"
"58","Bojo","Super League S6 EU Div 2B","Tomb Kings",7539,160.89,219.07,NA,"Lord_Bojo",221.16,248.43,222.54,"Guadeloupe","702 (319/187/196)",58.76,302,"02 – EU Div 2"
"59","Dodge22","Super League S6 EU Div 2B","Orc",32391,160.03,189.15,NA,"dodge22",211.41,222.62,222.62,"England","194 (90/48/56)",58.76,302,"02 – EU Div 2"
"60","Rhag","Super League S6 EU Div 2B","Dark Elf",34689,157.55,180.8,NA,"Rhag",191.64,191.64,191.64,"Finland","73 (26/22/25)",50.68,302,"02 – EU Div 2"
"61","Thernlow","Super League S6 EU Div 2B","High Elf",25614,153.73,161.65,NA,"Thernlow",182.35,199.77,185.31,"Norway","117 (43/37/37)",52.56,302,"02 – EU Div 2"
"62","Topas","Super League S6 EU Div 2B","Chaos Chosen",22100,146.45,205.71,NA,"topas",221.11,229.76,221.11,"Germany","286 (132/76/78)",59.44,302,"02 – EU Div 2"
"63","outcaarst","Super League S6 EU Div 2B","High Elf",15546,144.69,190.64,NA,"outcaarst",186.51,213.16,209.12,"Austria","196 (85/41/70)",53.83,302,"02 – EU Div 2"
"64","chaoskopp","Super League S6 EU Div 2B","Vampire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,"02 – EU Div 2"
"65","Tonalt","Super League S6 EU Div 2C","Amazon",7503,236.6,236.6,NA,"Tonalt",255.07,258.98,255.07,"Finland","228 (113/74/41)",65.79,303,"02 – EU Div 2"
"66","ratogre","Super League S6 EU Div 2C","Shambling Undead",22007,213,213,NA,"RatOgre",217.68,236.85,230.44,"Finland","296 (126/85/85)",56.93,303,"02 – EU Div 2"
"67","GreenskinPhil","Super League S6 EU Div 2C","Slann",31674,197.52,197.52,NA,"greenskinphil",240.11,252.55,252.55,"England","339 (150/105/84)",59.73,303,"02 – EU Div 2"
"68","Bashto","Super League S6 EU Div 2C","Amazon",32021,173.71,229.91,NA,"Bashto",249.98,271.88,271.88,"England","156 (79/39/38)",63.14,303,"02 – EU Div 2"
"69","Jblackmane","Super League S6 EU Div 2C","Orc",31370,161.98,174.03,NA,"jblackmane",156.8,203.65,201.38,"Netherlands","103 (40/25/38)",50.97,303,"02 – EU Div 2"
"70","bjarnefar","Super League S6 EU Div 2C","Orc",30624,157.17,168.09,NA,"bjarnefar",190.86,190.86,190.86,"Denmark","51 (24/10/17)",56.86,303,"02 – EU Div 2"
"71","paperbag4","Super League S6 EU Div 2C","Dwarf",17898,149.26,167.34,NA,"paperbag4",191.67,200.25,198.38,"United States of America","69 (31/8/30)",50.72,303,"02 – EU Div 2"
"72","Nime_l_Ancien","Super League S6 EU Div 2C","Elven Union",17768,NA,212.75,NA,"Nîme_l_Ancien",246.05,256.05,250.32,"France","205 (97/51/57)",59.76,303,"02 – EU Div 2"
"73","yudlugar","Super League S6 EU Div 2D","Goblin",28903,210.61,210.61,NA,"Yudlugar",237.89,241.24,241.24,"England","193 (92/54/47)",61.66,304,"02 – EU Div 2"
"74","Mind_Locker","Super League S6 EU Div 2D","Necromantic Horror",29192,194.52,194.52,NA,"Mind_Locker",211.47,214.78,214.78,"Greece","85 (36/28/21)",58.82,304,"02 – EU Div 2"
"75","Sandune","Super League S6 EU Div 2D","Orc",15142,190.3,220.46,NA,"Sandune",257.19,275,261.63,"New Zealand","274 (161/67/46)",70.99,304,"02 – EU Div 2"
"76","dragonborn","Super League S6 EU Div 2D","Amazon",22580,183.36,183.36,NA,"dragonborn",220.45,224.62,221.3,"England","118 (50/33/35)",56.36,304,"02 – EU Div 2"
"77","Edwin","Super League S6 EU Div 2D","Human",25301,174.7,199.99,NA,"Edwin",229.85,252.96,239.23,"Netherlands","286 (137/68/81)",59.79,304,"02 – EU Div 2"
"78","Schwifty","Super League S6 EU Div 2D","Skaven",2714,136.47,196.24,NA,"Schwifty",230.89,254.6,243.17,"Netherlands","716 (312/140/264)",53.35,304,"02 – EU Div 2"
"79","Farandole","Super League S6 EU Div 2D","Tomb Kings",33363,NA,206.59,NA,"half",223.48,237.89,237.89,"France","80 (46/14/20)",66.25,304,"02 – EU Div 2"
"80","Christian","Super League S6 EU Div 2D","Elven Union",16955,NA,199.56,NA,"Christian",212.52,218.4,216.72,"Denmark","117 (49/36/32)",57.26,304,"02 – EU Div 2"
"81","Oventa","Super League S6 EU Div 3A","Dwarf",9610,212.14,212.14,NA,"Oventa",251.58,258.17,258.17,"Germany","435 (222/105/108)",63.1,401,"03 – EU Div 3"
"82","AmazingGaze","Super League S6 EU Div 3A","Vampire",32634,201.08,201.08,NA,"AmazingGaze",234.6,236.26,236.26,"Germany","67 (33/18/16)",62.69,401,"03 – EU Div 3"
"83","Jopotzuki","Super League S6 EU Div 3A","Vampire",20783,169.01,180.55,NA,"jopotzuki",171.58,214.97,211.94,"Finland","354 (138/87/129)",51.27,401,"03 – EU Div 3"
"84","pedro_fgomes","Super League S6 EU Div 3A","Orc",26033,155.48,179.16,NA,"karnuss",168.79,205.99,179,"Portugal","154 (64/38/52)",53.9,401,"03 – EU Div 3"
"85","Padster61","Super League S6 EU Div 3A","Nurgle",26810,138.99,173,NA,"Padster",159.97,192.56,184.7,"North Ireland","397 (126/122/149)",47.1,401,"03 – EU Div 3"
"86","Coewolf","Super League S6 EU Div 3A","Elven Union",23332,NA,183.81,NA,"coewolf",174.27,221.54,181.72,"Czech Republic","234 (87/57/90)",49.36,401,"03 – EU Div 3"
