"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Year.high","Country","Alltime.high","Current.streak.without.loss","Longest.streak.without.loss","Naf.games.played","Win.procent","order"
"89","Bignaites","Super League S6 EU Div 3B","Necromantic Horror",31447,180.64,205.34,NA,"PedroR",226.93,235.25,"Portugal",235.25,1,16,"77 (42/16/19)",64.94,402
"90","raiksnn","Super League S6 EU Div 3B","Shambling Undead",30774,169.48,169.48,NA,"raiksnn",154.04,164.16,"Germany",164.16,1,7,"29 (10/5/14)",43.1,402
"91","Professeur","Super League S6 EU Div 3B","Dark Elf",32210,154.44,165.01,NA,"professeur",181.17,193.71,"France",193.71,2,9,"167 (47/43/77)",41.02,402
"92","MONGOR79","Super League S6 EU Div 3B","Orc",25820,142.98,142.98,NA,"MONGOR",153.26,172.39,"Greece",172.39,0,6,"50 (16/11/23)",43,402
"93","MerryZ","Super League S6 EU Div 3B","Old World Alliance",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,402
"94","Xialth","Super League S6 EU Div 3B","Necromantic Horror",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,402
"95","Rijssiej","Super League S6 EU Div 3B","Shambling Undead",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,402
"96","Palmu","Super League S6 EU Div 3B","Elven Union",31978,NA,162.65,NA,"palmu",172.62,172.62,"Finland",172.62,4,8,"24 (12/5/7)",60.42,402
"97","Arioso","Super League S6 EU Div 3C","Amazon",18378,218.64,218.64,NA,"arioso",251.5,279.16,"Germany",279.16,4,18,"801 (393/213/195)",62.36,403
"98","PurpleChest","Super League S6 EU Div 3C","Dark Elf",24645,209.17,216.66,NA,"PurpleChest",279.93,284.41,"England",284.41,8,20,"153 (91/39/23)",72.22,403
"99","PeteW","Super League S6 EU Div 3C","Necromantic Horror",7769,183.98,246.02,NA,"PeteW",285.1,312.52,"England",312.52,6,20,"364 (221/75/68)",71.02,403
"100","xtapodias","Super League S6 EU Div 3C","Shambling Undead",28002,169.95,170.86,NA,"xtapodias",183,198.88,"Greece",198.88,0,14,"72 (27/21/24)",52.08,403
"101","Fatzke","Super League S6 EU Div 3C","Skaven",26463,137.04,142.34,NA,"fatzke423",134.66,140.98,"Germany",151.21,0,3,"30 (9/5/16)",38.33,403
"102","historic","Super League S6 EU Div 3C","Dark Elf",22667,NA,190.42,NA,"Historic",194.3,227.93,"France",252.99,2,15,"181 (87/38/56)",58.56,403
"103","Boneripper","Super League S6 EU Div 3C","Wood Elf",33612,NA,144.35,NA,"BoneRipper",109.64,118.07,"Malta",145.5,1,3,"47 (10/9/28)",30.85,403
"104","Maveho","Super League S6 EU Div 3C","Necromantic Horror",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,403
"105","realmalteser2","Super League S6 EU Div 3D","Tomb Kings",21409,189.62,189.62,NA,"RealMalteser",211.57,230.06,"Malta",230.06,1,13,"336 (158/85/93)",59.67,404
"106","Raztout","Super League S6 EU Div 3D","Dark Elf",16824,188.64,239.05,NA,"Raztout",252.32,262.21,"France",289.65,4,19,"406 (195/114/97)",62.07,404
"107","Supa","Super League S6 EU Div 3D","Necromantic Horror",28354,161.24,168.89,NA,"supa",180.72,180.72,"Finland",180.72,9,9,"26 (15/6/5)",69.23,404
"108","Ion","Super League S6 EU Div 3D","Skaven",30099,154.49,164.27,NA,"ion",188.02,192.87,"Malta",192.87,0,7,"161 (51/53/57)",48.14,404
"109","Akorus","Super League S6 EU Div 3D","Vampire",29907,153.14,164.57,NA,"akorus",168.66,169.78,"Germany",169.78,1,6,"48 (17/13/18)",48.96,404
"110","fienoss","Super League S6 EU Div 3D","Amazon",29892,150.54,169.86,NA,"fienoss",194.34,209.78,"Greece",209.78,2,14,"85 (32/30/23)",55.29,404
"111","Dynamix","Super League S6 EU Div 3D","Dark Elf",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,404
"112","Wynters_Dad","Super League S6 EU Div 3D","Chaos Dwarf",30943,NA,159.53,NA,"Wynters_Dad",159.58,165,"England",165,0,5,"62 (17/15/30)",39.52,404
"113","siggi","Super League S6 EU Premier League","Orc",25971,237.33,251.1,NA,"siggi",294.54,302.12,"Switzerland",302.12,0,16,"386 (242/71/73)",71.89,0
"114","Purplegoo","Super League S6 EU Premier League","Shambling Undead",11777,217.81,272.75,NA,"Purplegoo",252.33,267.67,"England",292.06,0,24,"1075 (616/266/193)",69.67,0
"115","Thot","Super League S6 EU Premier League","Shambling Undead",19526,208.97,209.57,NA,"Thot",266.86,267.98,"France",267.98,19,19,"435 (246/88/101)",66.67,0
"116","Baki","Super League S6 EU Premier League","Chaos Chosen",19064,191.77,237.9,NA,"Baki",225.87,260.23,"Germany",261.25,0,14,"259 (139/65/55)",66.22,0
"117","Strider84","Super League S6 EU Premier League","Human",14113,183.38,258.36,NA,"strider84",259.92,259.92,"Switzerland",268.14,7,18,"270 (148/62/60)",66.3,0
"118","straume","Super League S6 EU Premier League","Chaos Renegade",20685,175.96,247.22,NA,"Straume",284.11,286.89,"Norway",299.1,7,37,"406 (221/121/64)",69.33,0
"119","JB","Super League S6 EU Premier League","Dwarf",28280,173.38,216.04,NA,"jb",267.38,267.38,"Ladonia",267.38,24,24,"108 (58/33/17)",68.98,0
"120","Grumplekins","Super League S6 EU Premier League","Shambling Undead",26358,163.37,210.9,NA,"grumplekins",223.31,240.63,"Sweden",240.63,5,12,"210 (91/61/58)",57.86,0
"121","joeseph","Super League S6 EU Swiss A","Necromantic Horror",38195,220.11,220.11,NA,"joeseph",217.01,227.77,"Wales",227.77,1,10,"40 (23/10/7)",70,501
"122","camelchops","Super League S6 EU Swiss A","Skaven",32575,214.04,214.04,NA,"camelchops",230.17,237.31,"Scotland",237.31,17,17,"89 (46/29/14)",67.98,501
"123","rayhell","Super League S6 EU Swiss A","Vampire",30281,213.6,213.6,NA,"rayhell",205.69,220.91,"Poland",247.48,3,13,"137 (68/32/37)",61.31,501
"124","beastquest","Super League S6 EU Swiss A","Lizardmen",27095,212.75,212.75,NA,"NightSword",239.1,239.1,"Malta",239.1,5,11,"202 (74/57/71)",50.74,501
